id,order,year,month,product code,title,module code,type,system,setting,confidence,edition,authors,cover_url,cover_artist,semester,season
719,,1998,,9541,Kidnapped,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
720,,1998,,9543,Servants of Darkness,,adventure,AD&D,Ravenloft,not verified,,,,,,
721,,1998,,9545,For Duty and Deity,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
722,,1998,,9546,Hellgate Keep,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
723,,1998,,9547,Cult of the Dragon,FOR8,accessory,AD&D,Forgotten Realms,not verified,,,,,,
724,,1998,,9549,College of Wizardry,,accessory,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-acc-college.jpg,,,
725,,1998,,9551,Dungeon Builder's Guidebook,,accessory,AD&D,,not verified,,,,,,
726,,1998,,9552,Villains' Lorebook,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
727,,1998,,9553,The Lost Shrine of Bundushatur,,adventure,AD&D,,not verified,,,,,,
728,,1998,,9554,Vecna Reborn,,adventure,AD&D,Ravenloft,not verified,,,,,,
729,,1998,,9555,Road to Danger,,adventure,AD&D,,not verified,,,,,,
730,,1998,,9557,"Jakandor, Island of War",,accessory,AD&D,,not verified,,,,,,
731,,1998,,9558,"Jakandor, Isle of Destiny",,accessory,AD&D,,not verified,,,,,,
732,,1998,,9558,The Fall of Myth Drannor,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
733,,1998,,9559,"Jakandor, Land of Legend",,adventure,AD&D,,not verified,,,,,,
734,,1998,,9569,The Illithiad,,accessory,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-mind.jpg,,,
735,,1998,,9570,Destiny of Kings,,adventure,AD&D,Birthright,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-mind1.jpg,,,
736,,1998,,9571,A Darkness Gathering,,adventure,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-mind2.jpg,,,
737,,1998,,9572,Dawn of the Overmind,,adventure,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-mind3.jpg,,,
738,,1998,,9573,Children of the Night: Werebeasts,,accessory,AD&D,Ravenloft,not verified,,,,,,
739,,1998,,9574,Cormanthyr: Empire of Elves,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
740,,1998,,9575,The City of Ravens Bluff,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
741,,1998,,9576,Masters of Eternal Night,,adventure,AD&D,,not verified,,,,,,
742,,1998,,9577,The Adventure Begins,,accessory,AD&D,Greyhawk,not verified,,,,,,
743,,1998,,9578,Player's Guide to Greyhawk,,accessory,AD&D,Greyhawk,not verified,,,,,,
744,,1998,,9579,Doomgrinder,,adventure,AD&D,Greyhawk,not verified,,,,,,
745,,1998,,9579,The Star Cairns,,adventure,AD&D,Greyhawk,not verified,,,,,,
746,,1998,,9580,Crypt of Lyzandred the Mad,,adventure,AD&D,Greyhawk,not verified,,,,,,
747,,1998,,9581,Return of the Eight,,adventure,AD&D,Greyhawk,not verified,,,,,,
748,,1998,,9583,The Shadow Rift,,accessory,AD&D,Ravenloft,not verified,,,,,,
749,,1998,,9584,Reunion,,adventure,AD&D,Al-Qadim,not verified,,,,,,
750,,1998,,9585,Demihuman Deities,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
751,,1998,,9586,A Paladin in Hell,,adventure,AD&D,,not verified,,Monte Cook,https://www.tsrarchive.com/add/add-adv-paladin.jpg,,,
752,,1998,,9586,Champions of the Mists,RR13,accessory,AD&D,Ravenloft,not verified,,,,,,
753,,1998,,9589,Calimport,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
